,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
0,1,1,2,9,0,0,0,1,0.22,0.2121,0.47,0.2239,11,76,87
1,4,1,12,5,0,6,0,1,0.24,0.2576,0.87,0.0896,1,12,13
2,2,1,3,3,0,0,0,3,0.42,0.4242,0.94,0.2985,8,10,18
3,3,0,7,23,0,1,1,1,0.7,0.6667,0.79,0.1343,11,44,55
4,3,0,7,8,0,5,1,2,0.72,0.6970000000000001,0.74,0.2537,36,421,457
5,1,1,3,4,0,5,1,1,0.32,0.3485,0.61,0.0,0,2,2
6,2,1,6,22,0,6,0,1,0.58,0.5455,0.46,0.1343,52,176,228
7,2,0,3,7,0,4,1,3,0.26,0.2576,1.0,0.2239,2,106,108
8,2,1,5,5,0,2,1,2,0.52,0.5,0.72,0.0896,0,17,17
9,2,0,3,22,0,3,1,2,0.32,0.3182,0.93,0.1642,6,38,44
10,2,1,6,3,0,0,0,1,0.64,0.6061,0.73,0.1045,6,23,29
11,2,1,6,6,0,6,0,1,0.56,0.5303,0.64,0.1045,17,63,80
12,3,1,8,16,0,0,0,2,0.66,0.6212,0.65,0.0,97,259,356
13,1,1,12,1,0,5,1,1,0.24,0.2273,0.6,0.19399999999999998,0,9,9
14,2,1,3,0,0,1,1,2,0.48,0.4697,0.82,0.1642,10,23,33
15,4,0,11,3,0,6,0,1,0.26,0.2424,0.48,0.2537,4,11,15
16,2,0,4,12,0,3,1,1,0.66,0.6061,0.78,0.3284,38,135,173
17,1,1,1,22,0,0,0,1,0.26,0.2727,0.6,0.1045,4,54,58
18,3,1,9,14,0,6,0,1,0.76,0.6818,0.48,0.2836,250,404,654
19,3,0,7,20,0,0,0,1,0.84,0.7879,0.49,0.1642,52,143,195
20,1,0,2,2,0,6,0,1,0.44,0.4394,0.13,0.3881,3,14,17
21,3,0,7,19,0,6,0,1,0.74,0.6818,0.48,0.19399999999999998,164,242,406
22,4,1,9,10,0,0,0,1,0.54,0.5152,0.45,0.2537,138,351,489
23,3,0,9,7,0,0,0,1,0.46,0.4545,0.72,0.2239,15,29,44
24,3,0,7,18,0,6,0,1,0.88,0.7576,0.28,0.19399999999999998,92,207,299
25,1,1,2,20,0,3,1,2,0.44,0.4394,0.47,0.19399999999999998,25,249,274
26,1,1,2,0,0,2,1,2,0.26,0.303,0.6,0.0,0,14,14
27,2,0,4,13,0,2,1,1,0.74,0.6667,0.51,0.4478,37,139,176
28,2,1,3,21,0,4,1,1,0.58,0.5455,0.78,0.1642,66,308,374
29,2,0,4,19,0,0,0,3,0.6,0.5606,0.83,0.2836,62,132,194
30,3,0,7,13,0,5,1,1,0.7,0.6515,0.54,0.19399999999999998,85,162,247
31,2,0,6,0,0,5,1,3,0.7,0.6515,0.65,0.2239,8,61,69
32,4,1,10,2,0,5,1,2,0.54,0.5152,0.88,0.0,1,9,10
33,2,1,6,19,0,6,0,1,0.64,0.6212,0.36,0.1642,185,369,554
34,3,1,8,3,0,0,0,1,0.72,0.6970000000000001,0.74,0.2537,9,32,41
35,1,1,12,4,0,6,0,1,0.26,0.2576,0.48,0.19399999999999998,3,2,5
36,1,0,3,15,0,4,1,1,0.24,0.2879,0.23,0.0,6,62,68
37,2,1,5,8,0,3,1,2,0.6,0.5909,0.73,0.1642,29,642,671
38,3,0,7,14,0,2,1,1,0.86,0.7424,0.3,0.2836,46,101,147
39,2,1,5,2,0,2,1,2,0.5,0.4848,0.72,0.0896,1,7,8
40,1,1,3,2,0,6,0,1,0.26,0.2424,0.41,0.2537,12,30,42
41,2,0,6,16,0,4,1,3,0.66,0.6212,0.69,0.19399999999999998,36,258,294
42,2,1,6,20,0,5,1,1,0.72,0.6515,0.32,0.1343,117,291,408
43,2,0,5,8,1,1,0,2,0.66,0.5909,0.89,0.1045,36,58,94
44,3,1,7,21,0,4,1,3,0.66,0.5909,0.89,0.2537,38,294,332
45,2,1,5,20,0,3,1,3,0.5,0.4848,0.82,0.2239,3,48,51
46,4,1,11,10,0,3,1,1,0.36,0.3788,0.62,0.0,22,150,172
47,3,1,8,13,0,3,1,1,0.8,0.7424,0.52,0.1642,59,221,280
48,4,1,10,0,0,0,0,1,0.44,0.4394,0.62,0.1642,28,99,127
49,4,0,10,15,0,1,1,1,0.56,0.5303,0.6,0.1642,52,125,177
50,1,1,3,21,0,3,1,1,0.6,0.6212,0.4,0.0896,47,241,288
51,1,1,12,4,0,3,1,1,0.22,0.19699999999999998,0.69,0.3582,0,2,2
52,3,1,8,21,0,1,1,1,0.72,0.6970000000000001,0.74,0.19399999999999998,39,239,278
53,2,1,4,22,0,6,0,2,0.36,0.3485,0.71,0.1343,17,66,83
54,2,1,4,9,0,2,1,1,0.6,0.6212,0.38,0.4925,71,329,400
55,1,1,2,12,0,2,1,2,0.3,0.2879,0.52,0.2239,10,162,172
56,3,0,9,23,0,4,1,2,0.62,0.5455,0.94,0.0,14,99,113
57,1,1,3,12,0,1,1,1,0.48,0.4697,0.39,0.2239,59,162,221
58,4,1,11,1,1,4,0,1,0.28,0.303,0.65,0.0896,5,37,42
59,3,1,8,7,0,2,1,2,0.66,0.6061,0.83,0.1045,14,255,269
60,4,1,9,18,0,1,1,1,0.54,0.5152,0.37,0.1642,95,758,853
61,3,0,8,13,0,2,1,1,0.72,0.6515,0.3,0.1045,70,164,234
62,2,1,4,21,0,0,0,3,0.36,0.3333,0.87,0.3881,0,11,11
63,4,0,10,11,0,0,0,1,0.46,0.4545,0.72,0.1642,131,202,333
64,4,1,10,16,0,6,0,2,0.56,0.5303,0.64,0.2836,257,355,612
65,3,1,7,0,0,0,0,2,0.6,0.5455,0.88,0.1045,17,96,113
66,4,1,11,8,0,5,1,1,0.24,0.2576,0.87,0.0896,11,83,94
67,3,0,8,5,0,5,1,1,0.64,0.5909,0.78,0.0896,0,16,16
68,3,1,9,19,0,6,0,3,0.78,0.7424,0.62,0.0,157,235,392
69,2,1,5,1,0,4,1,1,0.6,0.5455,0.88,0.0896,9,21,30
70,2,0,5,22,0,2,1,1,0.74,0.6970000000000001,0.7,0.1642,42,117,159
71,1,0,2,5,0,2,1,3,0.14,0.2121,0.93,0.0,0,3,3
72,1,1,1,13,0,1,1,1,0.3,0.2879,0.31,0.19399999999999998,15,117,132
73,3,0,9,6,0,1,1,1,0.56,0.5303,0.83,0.0,1,108,109
74,3,1,7,17,0,3,1,1,0.8,0.6970000000000001,0.31,0.2239,90,740,830
75,3,1,7,14,0,1,1,1,0.8,0.7424,0.49,0.2239,87,167,254
76,4,1,12,6,0,6,0,2,0.24,0.2879,0.75,0.0,0,11,11
77,2,0,5,17,0,5,1,3,0.52,0.5,0.88,0.1642,62,429,491
